time	I(R1)
0.000000000000000e+00	0.000000e+00
2.800693942433492e-02	2.792647e-02
5.601387884866985e-02	5.569910e-02
8.402081827300477e-02	8.331790e-02
1.120277576973397e-01	1.107829e-01
1.400346971216746e-01	1.380940e-01
1.680416365460095e-01	1.652513e-01
1.960485759703444e-01	1.922548e-01
2.536200045417730e-01	2.472773e-01
3.111914331132016e-01	3.016876e-01
3.687628616846302e-01	3.554855e-01
4.263342902560589e-01	4.086710e-01
4.839057188274876e-01	4.612443e-01
5.414771473989162e-01	5.132052e-01
5.990485759703447e-01	5.645539e-01
6.560485759703447e-01	6.148150e-01
7.130485759703448e-01	6.645221e-01
7.700485759703448e-01	7.136752e-01
8.270485759703450e-01	7.622744e-01
8.840485759703450e-01	8.103197e-01
9.410485759703451e-01	8.578109e-01
9.980485759703450e-01	9.047482e-01
9.990485759703450e-01	9.055672e-01
1.000000000000000e+00	9.063463e-01
