time	I(R1)
0.000000000000000e+00	0.000000e+00
7.489828359601756e-05	3.742976e-05
1.497965671920351e-04	7.482118e-05
2.246948507880527e-04	1.121743e-04
2.995931343840702e-04	1.494890e-04
3.744914179800878e-04	1.867654e-04
4.493897015761054e-04	2.240035e-04
5.242879851721227e-04	2.612032e-04
1.048575970344245e-03	5.205752e-04
2.048575970344245e-03	1.011545e-03
3.048575970344245e-03	1.497832e-03
4.048575970344245e-03	1.978874e-03
5.048575970344246e-03	2.454750e-03
6.048575970344246e-03	2.925540e-03
7.048575970344246e-03	3.391324e-03
8.048575970344245e-03	3.852177e-03
9.048575970344246e-03	4.308176e-03
1.004857597034425e-02	4.759396e-03
1.104857597034425e-02	5.205910e-03
1.204857597034425e-02	5.647791e-03
1.304857597034425e-02	6.085111e-03
1.404857597034425e-02	6.517938e-03
1.504857597034425e-02	6.946343e-03
1.604857597034425e-02	7.370394e-03
1.704857597034425e-02	7.790158e-03
1.804857597034425e-02	8.205700e-03
2.004857597034426e-02	9.024378e-03
2.204857597034426e-02	9.826938e-03
2.404857597034426e-02	1.061387e-02
2.704857597034426e-02	1.176601e-02
3.004857597034426e-02	1.288559e-02
3.304857597034427e-02	1.397412e-02
3.719143311320142e-02	1.542138e-02
4.133429025605856e-02	1.682321e-02
4.547714739891571e-02	1.817960e-02
4.962000454177286e-02	1.949056e-02
5.376286168463001e-02	2.075608e-02
5.790571882748716e-02	2.197617e-02
6.204857597034429e-02	2.315082e-02
6.933429025605858e-02	2.512023e-02
7.662000454177288e-02	2.701268e-02
8.390571882748718e-02	2.882818e-02
9.119143311320146e-02	3.056671e-02
9.847714739891576e-02	3.222829e-02
1.057628616846301e-01	3.381291e-02
1.130485759703443e-01	3.532058e-02
1.259057188274872e-01	3.785071e-02
1.387628616846301e-01	4.029397e-02
1.516200045417729e-01	4.265036e-02
1.644771473989158e-01	4.491986e-02
1.773342902560587e-01	4.710250e-02
1.901914331132016e-01	4.919826e-02
2.030485759703444e-01	5.120714e-02
2.281914331132016e-01	5.503427e-02
2.533342902560587e-01	5.879054e-02
2.784771473989159e-01	6.247596e-02
3.036200045417731e-01	6.609051e-02
3.287628616846302e-01	6.963420e-02
3.539057188274874e-01	7.310702e-02
3.790485759703445e-01	7.650899e-02
4.639057188274875e-01	8.781708e-02
5.487628616846305e-01	9.883766e-02
6.336200045417735e-01	1.095707e-01
7.184771473989164e-01	1.200163e-01
8.033342902560594e-01	1.301744e-01
8.881914331132024e-01	1.400449e-01
9.730485759703450e-01	1.496279e-01
9.990485759703450e-01	1.525206e-01
1.000000000000000e+00	1.526260e-01
