time	I(R1)
0.000000000000000e+00	0.000000e+00
7.489828359601756e-05	3.742976e-05
1.497965671920351e-04	7.482118e-05
2.246948507880527e-04	1.121743e-04
2.995931343840702e-04	1.494890e-04
3.744914179800878e-04	1.867654e-04
4.493897015761054e-04	2.240035e-04
5.242879851721227e-04	2.612032e-04
1.048575970344245e-03	5.205752e-04
2.048575970344245e-03	1.011545e-03
3.048575970344245e-03	1.497832e-03
4.048575970344245e-03	1.978874e-03
5.048575970344246e-03	2.454750e-03
6.048575970344246e-03	2.925540e-03
7.048575970344246e-03	3.391324e-03
8.048575970344245e-03	3.852177e-03
9.048575970344246e-03	4.308176e-03
1.004857597034425e-02	4.759396e-03
1.104857597034425e-02	5.205910e-03
1.204857597034425e-02	5.647791e-03
1.304857597034425e-02	6.085111e-03
1.404857597034425e-02	6.517938e-03
1.504857597034425e-02	6.946343e-03
1.604857597034425e-02	7.370394e-03
1.704857597034425e-02	7.790158e-03
1.804857597034425e-02	8.205700e-03
2.004857597034426e-02	9.024378e-03
2.204857597034426e-02	9.826938e-03
2.404857597034426e-02	1.061387e-02
2.704857597034426e-02	1.176601e-02
3.004857597034426e-02	1.288559e-02
3.304857597034427e-02	1.397412e-02
3.719143311320142e-02	1.542138e-02
4.133429025605856e-02	1.682321e-02
4.547714739891571e-02	1.817960e-02
4.962000454177286e-02	1.949056e-02
5.376286168463001e-02	2.075608e-02
5.790571882748716e-02	2.197617e-02
6.204857597034429e-02	2.315082e-02
6.933429025605858e-02	2.512023e-02
7.662000454177288e-02	2.701268e-02
8.390571882748718e-02	2.882818e-02
9.119143311320146e-02	3.056671e-02
9.847714739891576e-02	3.222829e-02
1.057628616846301e-01	3.381291e-02
1.130485759703443e-01	3.532058e-02
1.259057188274872e-01	3.785071e-02
1.387628616846301e-01	4.029397e-02
1.516200045417729e-01	4.265036e-02
1.644771473989158e-01	4.491986e-02
1.773342902560587e-01	4.710250e-02
1.901914331132016e-01	4.919826e-02
2.030485759703444e-01	5.120714e-02
2.281914331132016e-01	5.503427e-02
2.533342902560587e-01	5.879054e-02
2.784771473989159e-01	6.247596e-02
3.036200045417731e-01	6.609051e-02
3.287628616846302e-01	6.963420e-02
3.539057188274874e-01	7.310702e-02
3.790485759703445e-01	7.650899e-02
4.639057188274875e-01	8.781708e-02
5.487628616846305e-01	9.883766e-02
6.336200045417735e-01	1.095707e-01
7.184771473989164e-01	1.200163e-01
8.033342902560594e-01	1.301744e-01
8.881914331132024e-01	1.400449e-01
9.730485759703450e-01	1.496279e-01
1.000000000000000e+00	1.526260e-01
1.000665996820759e+00	1.520370e-01
1.003774730995576e+00	1.493585e-01
1.006883465170393e+00	1.467685e-01
1.009992199345211e+00	1.442671e-01
1.013100933520028e+00	1.418542e-01
1.016209667694845e+00	1.395299e-01
1.019318401869663e+00	1.372942e-01
1.022427136044480e+00	1.351471e-01
1.024427136044480e+00	1.337989e-01
1.026427136044480e+00	1.324807e-01
1.027427136044480e+00	1.318326e-01
1.028427136044479e+00	1.311916e-01
1.029427136044479e+00	1.305576e-01
1.030427136044479e+00	1.299306e-01
1.031427136044479e+00	1.293104e-01
1.032427136044479e+00	1.286970e-01
1.034427136044479e+00	1.274898e-01
1.036427136044479e+00	1.263083e-01
1.039427136044478e+00	1.245825e-01
1.043427136044478e+00	1.223763e-01
1.047427136044477e+00	1.202469e-01
1.051427136044477e+00	1.181943e-01
1.055427136044476e+00	1.162185e-01
1.059427136044476e+00	1.143196e-01
1.063427136044476e+00	1.124974e-01
1.067427136044475e+00	1.107520e-01
1.073998564615903e+00	1.080287e-01
1.080569993187331e+00	1.054234e-01
1.087141421758759e+00	1.029362e-01
1.093712850330187e+00	1.005671e-01
1.100284278901615e+00	9.831595e-02
1.106855707473042e+00	9.618290e-02
1.113427136044470e+00	9.416790e-02
1.123712850330183e+00	9.118074e-02
1.133998564615896e+00	8.831397e-02
1.144284278901609e+00	8.556761e-02
1.154569993187323e+00	8.294165e-02
1.164855707473036e+00	8.043609e-02
1.175141421758749e+00	7.805093e-02
1.185427136044462e+00	7.578617e-02
1.202998564615889e+00	7.205796e-02
1.220569993187316e+00	6.842388e-02
1.238141421758742e+00	6.488393e-02
1.255712850330169e+00	6.143811e-02
1.273284278901595e+00	5.808642e-02
1.290855707473022e+00	5.482886e-02
1.308427136044449e+00	5.166543e-02
1.347998564615873e+00	4.463514e-02
1.387569993187297e+00	3.771246e-02
1.427141421758721e+00	3.089739e-02
1.466712850330145e+00	2.418992e-02
1.506284278901570e+00	1.759006e-02
1.545855707472994e+00	1.109781e-02
1.585427136044418e+00	4.713159e-03
1.599427136044417e+00	2.464455e-03
1.613427136044415e+00	2.257619e-04
1.627427136044413e+00	-2.002922e-03
1.641427136044412e+00	-4.221596e-03
1.655427136044410e+00	-6.430261e-03
1.669427136044409e+00	-8.628916e-03
1.683427136044407e+00	-1.081756e-02
1.703141421758691e+00	-1.388284e-02
1.722855707472974e+00	-1.692917e-02
1.742569993187258e+00	-1.995655e-02
1.762284278901542e+00	-2.296499e-02
1.781998564615825e+00	-2.595449e-02
1.801712850330109e+00	-2.892504e-02
1.821427136044392e+00	-3.187664e-02
1.846712850330104e+00	-3.563512e-02
1.871998564615815e+00	-3.936401e-02
1.897284278901527e+00	-4.306332e-02
1.922569993187238e+00	-4.673303e-02
1.947855707472950e+00	-5.037315e-02
1.973141421758661e+00	-5.398368e-02
1.998427136044373e+00	-5.756462e-02
1.999000000000000e+00	-5.764543e-02
2.000000000000000e+00	-5.778646e-02
